StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q53,Q12,Q12_5_TEXT,Q10,Q13,Q13_6_TEXT,Q15,Q15_9_TEXT,Q17,Q17_4_TEXT,Q19,Q21,Q23,Q30,Q31,Q18,Q19,Q32_1,Q32_2,Q32_3,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Mental Health Care and Intellectual and Developmental Disabilities Curriculum Informed Consent Letter for Adult Participants Faculty/Community-Based Provider Participation


I am Andrea Caoili, Director of Research and Quality Assurance at the Center for START Services. My team and I are conducting a research study to develop and evaluate the effectiveness of a training for medical students on working with individuals who have intellectual or developmental disabilities (IDD) and mental health concerns (IDD-MH). I am writing to invite you to participate in this study.  



This consent form describes the research study and helps you to decide if you want to participate.  It provides important information about what you will be asked to do in the study, about the risks and benefits of participating in the study, and about your rights as a research participant. 


	You should read the information in this document carefully, and ask me or the research personnel any questions, particularly if you do not understand something.
	You should not agree to participate until all your questions have been answered, or until you are sure that you want to. 
	This study will consist of viewing up to 6 hours of recording training that can be accessed on-demand, at your convenience. You can view some or all of the training content. Upon completion, you will complete a brief feedback survey about the strengths, areas for revision, and recommendations for future training. It will take about 15-30 minutes to complete the survey.  
	We are seeking up to 40 medical professionals with experience treating patients with IDD-MH in community-based settings to participate. 
	You must be at least 18 years old to participate in this study.



Taking part in this study is completely voluntary.  You may choose not to take part at all.  If you agree to participate, you may refuse to answer any question.  If you change your mind, you may stop participating at any time. Any data collected as part of your participation will remain part of the study records If you decide not to participate or if you stop participating at any time, you will not be penalized or lose any benefits for which you would otherwise qualify. 



The benefit of this broader study is the contribution to the knowledge base of medical students when treating patients with developmental disabilities and mental health challenges. The benefit you receive from participating is that you will be able to view the curriculum in its entirety and increase your knowledge in treating patients with developmental disabilities and mental health challenges. 



To help protect the confidentiality of your information, we will not ask you to identify your name when completing online surveys. Only the research team will have access to the data, and it will be analyzed and aggregated by the team. No third-party data processing will be required.  We will report the data in aggregate and participants will not be named in the report.  The results may be used in reports, presentations, and publications.



If you have any questions about this research project or would like more information before, during, or after the study, you may contact Andrea Caoili at andrea.caoili@unh.edu.  If you have questions about your rights as a research subject, you may contact Melissa McGee in UNH Research Integrity Services at 603-862-2005 or Melissa.McGee@unh.edu to discuss them.



Thank you for your consideration.



Sincerely,



Andrea Caoili 

Director of Research and Quality Assurance

Center for START Services, Institute on Disability/UCED

University of New Hampshire",Please describe yourself - Selected Choice,Please describe yourself - Other - Text,What is your age range?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your race? - Selected Choice,What is your race? - Other - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,"How much experience (personal, professional, or volunteer) do you have interfacing with people with intellectual and developmental disabilities and co-occurring mental health conditions?",Rate your current level of knowledge of the mental health needs of people with intellectual and developmental disabilities.,Please select all training modules you viewed.,"Overall, how satisfied were you with this training curriculum?","If you were not satisfied with the curriculum, please tell us why.",Which training modules did you like the most and why?,Which training modules did you like the least and why?,Please rate your level of agreement with the following statements using the scale provided. - This training content can be helpful to medical students and residents,Please rate your level of agreement with the following statements using the scale provided. - This training content can be helpful for medical professionals,Please rate your level of agreement with the following statements using the scale provided. - I would recommend this course to other medical professionals,Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will recognize their role as healthcare providers for persons with IDD within a broader system of care.,"Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will provide appropriate, culturally competent care for patients with IDD in their practice.","Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will identify the unique strengths, needs, and vulnerabilities of persons with IDD as part of an integrated, biopsychosocial framework for assessment and treatment.",Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will utilize best practices to promote mental wellness for persons with IDD.,What did you find particularly helpful about this course?,What are your recommendations to improve this course for other learners in the future?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID53""}","{""ImportId"":""QID95""}","{""ImportId"":""QID95_5_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID96""}","{""ImportId"":""QID96_6_TEXT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID97_9_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_4_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_5""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_3""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}"
5/17/2022 8:14,5/17/2022 8:14,Survey Preview,,100,4,TRUE,5/17/2022 8:14,R_3RfNq8HFixaPhdr,,,,,35.5831,-78.7881,preview,EN,I decline to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2022 16:20,6/19/2022 17:18,IP Address,98.217.231.70,100,3485,TRUE,6/19/2022 17:18,R_2VdT1Ls5IoJIwJQ,,,,,43.244,-71.4123,anonymous,EN,I consent to participate in this research study,Other,SWer,51 or over,Female,,White,,Non-Hispanic,,Extensive,Moderately knowledgeable,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD,Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW,Fundamentals of Psychopharmacology- Jarrett Barnhill, MD,The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW,Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD,Medical Assessment Considerations- Leslie Rubin, MD,Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD,Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD",Satisfied,,"Lived Expereince
Jen McL
IDD/OCD
IDD/Loss
IDD/Trauma
Biopsychsocial

Micah was wonderful.  The trainers were particularly skilled and good traininers","Some of the trainings the presenter was literally reading from their notes and it was obvious that they were doing so.
",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"Variety of topics
Broken down into bite size learning opportunities
Consistent format
Resources offered for each unit
LOVED the lived experience participants",Less reading of slides and more passion in speaking.
6/19/2022 17:03,6/20/2022 8:04,IP Address,130.189.175.148,11,54011,FALSE,6/27/2022 8:04,R_3ENdmXk4zKGoYMh,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2022 8:21,7/22/2022 8:28,IP Address,24.245.124.76,11,401,FALSE,7/29/2022 8:28,R_2R9BTrxFd9JQq7f,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2022 12:27,8/11/2022 12:56,IP Address,24.163.38.142,100,1685,TRUE,8/11/2022 12:56,R_4TnE4Zk2n6Xps8V,,,,,35.5831,-78.7881,anonymous,EN,I consent to participate in this research study,Other,NCSS Team Member,33-40,Female,,White,,Non-Hispanic,,Moderate amount,Moderately knowledgeable,,Highly satisfied,,testing for time,testing for time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,test,test
8/19/2022 10:58,8/19/2022 11:08,IP Address,104.245.196.88,100,617,TRUE,8/19/2022 11:08,R_1MKvc0eED6PWaFE,,,,,33.9484,-118.2493,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Male,,White,,Hispanic/Latino of any race,,Some,Somewhat knowledgeable,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD",Highly satisfied,,Positive psychology was my favorite from all. Reason being is that the instructor made it fun to learn and taught me different ways on looking at things.,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I personally think that the lectures can have real world hands on examples for us to model and apply at in the field.,Implement fun activities in presentations related to the topic. Interactive games will also be helpful. 
8/21/2022 14:38,8/21/2022 14:39,IP Address,136.226.64.245,100,41,TRUE,8/21/2022 14:39,R_3qvyqnWKfTOvLRd,,,,,34.024,-118.1965,anonymous,EN,I decline to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 12:46,8/22/2022 12:54,IP Address,96.74.81.141,100,461,TRUE,8/22/2022 12:54,R_0HfyuW2sUC9Wfdv,,,,,37.7771,-122.406,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Male,,Asian,,Non-Hispanic,,None,Moderately knowledgeable,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD,Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Highly satisfied,,"The modules that I enjoy the most was the Understanding Autism with Melanie because it was very helpful learning more about ASD from a lecturer who also is diagnosed with ASD. Hearing her own personal experience on top of her knowledge, made the module very intriguing and more engaging in what we as individuals in our field can do to assist them and their community.","The training module that I enjoy the least had to be the module that pertains to the DSM-IV because the module went further into detail in the textbook. This approach made the module more tedious and book-information heavy. Although it was an important information to know, by making it more engaging and intriguing in the future, the module can be more enjoyable.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The information about ASD and the common misconceptions about individuals with IDD/MH.,"A more engaging module pertaining to the DSM-IV and an additional media information such as videos, images, etc."
8/23/2022 17:43,8/23/2022 17:51,IP Address,104.182.33.25,100,496,TRUE,8/23/2022 17:51,R_29blRrNK0vIDD08,,,,,37.9208,-122.0182,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,33-40,Female,,White,,Non-Hispanic,,Extensive,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Comprehensive overview led by a nerodiverse teacher. Inclusive of multiple perspectives (eg acknowledging that while many people prefer identity first language, some may prefer person first)",More examples of differences in how autism presents in different people. More information on sensory differences.
